Instrument,Date_Time,Application,Sample_ID,Customer_ID,Comment,Operator,SubSamples,UsedSubSamples,ProtDM,Outlier,Moisture,Outlier,StarchDM,Outlier,WGlutDM,Outlier
12417169,2023-02-08 10:08:28,WH110907,CE360GP2022WWGr,Huggins,,ARS,5,5,10.9958,0000,3.3911,0305,69.0204,0500,19.7040,0300
12417169,2023-02-08 10:09:37,WH110907,CE354GP2022WWGr,Huggins,,ARS,5,5,11.6944,0000,4.4593,0104,70.0135,0500,22.4341,0100
12417169,2023-02-08 10:10:46,WH110907,CE353GP2022WWGr,Huggins,,ARS,5,5,11.4700,0000,3.8899,0205,69.3771,0500,21.1442,0200
12417169,2023-02-08 10:11:40,WH110907,CE355GP2022WWGr,Huggins,,ARS,5,5,11.7558,0000,3.7333,0205,69.0931,0500,20.8880,0200
12417169,2023-02-08 10:12:32,WH110907,CE350GP2022WWGr,Huggins,,ARS,5,5,11.4255,0000,4.4844,0104,70.2923,0500,21.5883,0100
12417169,2023-02-08 10:13:53,WH110907,CE352GP2022WWGr,Huggins,,ARS,5,5,11.5808,0000,3.3243,0305,68.9725,0500,20.3577,0300
12417169,2023-02-08 10:14:48,WH110907,CE351GP2022WWGr,Huggins,,ARS,5,5,11.1331,0000,3.7627,0305,68.9417,0500,19.9233,0300
12417169,2023-02-08 10:15:53,WH110907,CE356GP2022WWGr,Huggins,,ARS,5,5,12.8847,0000,3.1137,0305,68.6944,0500,21.7076,0300
12417169,2023-02-08 10:16:48,WH110907,CE358GP2022WWGr,Huggins,,ARS,5,5,12.1400,0000,3.6800,0205,69.0526,0500,21.3244,0200
