Instrument,Date_Time,Application,Sample_ID,Customer_ID,Comment,Operator,SubSamples,UsedSubSamples,ProtDM,Outlier,Moisture,Outlier,StarchDM,Outlier,WGlutDM,Outlier
12417169,2023-03-15 13:00:34,WH110907,CW489GP2022WWGr,Huggins,,ARS,5,5,9.9168,0000,5.2614,0103,77.2954,0404,20.6553,0100
12417169,2023-03-15 13:01:31,WH110907,CW482GP2022WWGr,Huggins,,ARS,5,5,12.2675,0000,5.0613,0003,69.9654,0200,24.7133,0000
12417169,2023-03-15 13:06:08,WH110907,CW480GP2022WWGr,Huggins,,ARS,5,5,10.3440,0000,5.2505,0103,75.2958,0402,21.3412,0100
12417169,2023-03-15 13:07:03,WH110907,CW485GP2022WWGr,Huggins,,ARS,5,5,11.5715,0000,4.9315,0004,71.4601,0300,21.5787,0100
12417169,2023-03-15 13:07:59,WH110907,CW484GP2022WWGr,Huggins,,ARS,5,5,12.0875,0000,5.0287,0003,70.5965,0300,23.0495,0100
12417169,2023-03-15 13:08:57,WH110907,CW481GP2022WWGr,Huggins,,ARS,5,5,12.5363,0000,4.9472,0004,69.1784,0200,24.3362,0100
12417169,2023-03-15 13:10:10,WH110907,CW483GP2022WWGr,Huggins,,ARS,5,5,12.6132,0000,5.1293,0003,70.0092,0200,24.7941,0100
12417169,2023-03-15 13:11:05,WH110907,CW486GP2022WWGr,Huggins,,ARS,5,5,12.6265,0000,4.7775,0004,68.7705,0300,22.9333,0100
12417169,2023-03-15 13:12:02,WH110907,CW487GP2022WWGr,Huggins,,ARS,5,5,11.9969,0000,5.0313,0003,72.5810,0301,23.9476,0100
12417169,2023-03-15 13:12:54,WH110907,CW488GP2022WWGr,Huggins,,ARS,5,5,12.2313,0000,4.9120,0004,70.1298,0200,23.0313,0100
