Instrument,Date_Time,Application,Sample_ID,Customer_ID,Comment,Operator,SubSamples,UsedSubSamples,ProtDM,Outlier,Moisture,Outlier,StarchDM,Outlier,WGlutDM,Outlier
12417169,2023-01-18 10:43:05,WH110907,CE262GP2022WWGr,Huggins,,ARS,5,5,13.0255,0000,9.2374,0000,66.9832,0000,34.1995,0000
12417169,2023-01-18 10:44:18,WH110907,CE265GP2022WWGr,Huggins,,ARS,5,5,11.3533,0000,9.3311,0000,71.9999,0000,29.8397,0000
12417169,2023-01-18 10:45:18,WH110907,CE264GP2022WWGr,Huggins,,ARS,5,5,12.0505,0000,9.6533,0000,70.5336,0000,32.2896,0000
12417169,2023-01-18 10:46:17,WH110907,CE260GP2022WWGr,Huggins,,ARS,5,5,12.8492,0000,9.2000,0000,66.7219,0000,33.8767,0000
12417169,2023-01-18 10:47:16,WH110907,CE266GP2022WWGr,Huggins,,ARS,5,5,10.7289,0000,9.1656,0000,72.3980,0000,28.1746,0000
12417169,2023-01-18 10:48:12,WH110907,CE261GP2022WWGr,Huggins,,ARS,5,5,11.3010,0000,9.5773,0000,71.0049,0000,30.6341,0000
12417169,2023-01-18 10:49:10,WH110907,CE267GP2022WWGr,Huggins,,ARS,5,5,11.6407,0000,9.3555,0000,71.7586,0000,31.2033,0000
12417169,2023-01-18 10:50:34,WH110907,CE268GP2022WWGr,Huggins,,ARS,5,5,11.9345,0000,9.5712,0000,70.4311,0000,31.6117,0000
12417169,2023-01-18 10:51:37,WH110907,CE269GP2022WWGr,Huggins,,ARS,5,5,10.6359,0000,9.3271,0000,73.1505,0000,27.8055,0000
12417169,2023-01-18 10:52:30,WH110907,CE263GP2022WWGr,Huggins,,ARS,5,5,12.2228,0000,9.3027,0000,69.7100,0000,32.4846,0000
12417169,2023-01-18 11:13:07,WH110907,CE274GP2022WWGr,Huggins,,ARS,5,5,11.7274,0000,9.6488,0000,71.0909,0000,31.6474,0000
12417169,2023-01-18 11:14:24,WH110907,CE272GP2022WWGr,Huggins,,ARS,5,5,10.7894,0000,9.4879,0000,73.0939,0000,28.3854,0000
12417169,2023-01-18 11:27:08,WH110907,CE277GP2022WWGr,Huggins,,ARS,5,5,13.9140,0000,9.0975,0000,65.1332,0000,36.5945,0000
12417169,2023-01-18 11:28:01,WH110907,CE278GP2022WWGr,Huggins,,ARS,5,5,13.1329,0000,8.9464,0000,67.5186,0000,34.4696,0000
12417169,2023-01-18 11:28:54,WH110907,CE279GP2022WWGr,Huggins,,ARS,5,5,10.7896,0000,9.4931,0000,73.0962,0000,29.0684,0000
12417169,2023-01-18 11:30:33,WH110907,CE276GP2022WWGr,Huggins,,ARS,5,5,10.6624,0000,9.6642,0000,71.8749,0000,28.2173,0000
12417169,2023-01-18 11:32:04,WH110907,CE275GP2022WWGr,Huggins,,ARS,5,5,13.3319,0000,9.3668,0000,67.0849,0000,35.4822,0000
12417169,2023-01-18 11:33:08,WH110907,CE271GP2022WWGr,Huggins,,ARS,5,5,14.0087,0000,9.2556,0000,65.4022,0000,36.6477,0000
12417169,2023-01-18 11:34:06,WH110907,CE273GP2022WWGr,Huggins,,ARS,5,5,11.0710,0000,9.3263,0000,71.4765,0000,29.2454,0000
12417169,2023-01-18 11:35:01,WH110907,CE270GP2022WWGr,Huggins,,ARS,5,5,13.8750,0000,9.0841,0000,66.5104,0000,36.9177,0000
12417169,2023-01-18 11:56:15,WH110907,CE285GP2022WWGr,Huggins,,ARS,5,5,12.7924,0000,5.8913,0003,71.6974,0100,28.9200,0000
12417169,2023-01-18 11:58:34,WH110907,CE286GP2022WWGr,Huggins,,ARS,5,5,10.8820,0000,6.3823,0002,74.4956,0201,24.8154,0000
12417169,2023-01-18 11:59:34,WH110907,CE284GP2022WWGr,Huggins,,ARS,5,5,12.7277,0000,5.8690,0003,68.3954,0200,26.8046,0000
12417169,2023-01-18 12:00:31,WH110907,CE282GP2022WWGr,Huggins,,ARS,5,5,11.3179,0000,6.2691,0002,74.3138,0211,24.0239,0000
12417169,2023-01-18 12:01:30,WH110907,CE281GP2022WWGr,Huggins,,ARS,5,5,12.5050,0000,6.1306,0002,69.3043,0100,26.3767,0000
12417169,2023-01-18 12:02:27,WH110907,CE280GP2022WWGr,Huggins,,ARS,5,5,11.7778,0000,6.4275,0002,73.1761,0101,26.5174,0000
12417169,2023-01-18 12:03:52,WH110907,CE288GP2022WWGr,Huggins,,ARS,5,5,11.4124,0000,6.4029,0002,73.9265,0111,26.4197,0000
12417169,2023-01-18 12:04:53,WH110907,CE287GP2022WWGr,Huggins,,ARS,5,5,13.2531,0000,5.7709,0003,67.2087,0100,28.0887,0000
12417169,2023-01-18 12:05:47,WH110907,CE283GP2022WWGr,Huggins,,ARS,5,5,12.1309,0000,6.2390,0002,69.6232,0100,26.8980,0000
12417169,2023-01-18 12:06:39,WH110907,CE289GP2022WWGr,Huggins,,ARS,5,5,12.1924,0000,6.2895,0002,73.2944,0101,28.1227,0000
12417169,2023-01-18 13:52:05,WH110907,CE293GP2022WWGr,Huggins,,ARS,5,5,12.9056,0000,6.2133,0002,69.6998,0100,29.0437,0000
12417169,2023-01-18 13:53:10,WH110907,CE298GP2022WWGr,Huggins,,ARS,5,5,12.6273,0000,6.3091,0002,69.9360,0100,27.7055,0000
12417169,2023-01-18 13:54:09,WH110907,CE290GP2022WWGr,Huggins,,ARS,5,5,11.2168,0000,6.5940,0002,74.6079,0101,26.4569,0000
12417169,2023-01-18 13:55:06,WH110907,CE299GP2022WWGr,Huggins,,ARS,5,5,12.1536,0000,6.5350,0002,72.1845,0100,28.5658,0000
12417169,2023-01-18 13:56:00,WH110907,CE291GP2022WWGr,Huggins,,ARS,5,5,11.6057,0000,6.2814,0002,71.6112,0110,24.7035,0000
12417169,2023-01-18 13:56:54,WH110907,CE297GP2022WWGr,Huggins,,ARS,5,5,13.2183,0000,6.1904,0002,66.4326,0100,29.7895,0000
12417169,2023-01-18 13:57:48,WH110907,CE292GP2022WWGr,Huggins,,ARS,5,5,11.6040,0000,6.2298,0002,70.0644,0100,25.2493,0000
12417169,2023-01-18 14:10:51,WH110907,CE300GP2022WWGr,Huggins,,ARS,5,5,10.5021,0000,4.9493,0104,73.9859,0401,21.1505,0100
12417169,2023-01-18 14:11:49,WH110907,CE307GP2022WWGr,Huggins,,ARS,5,5,11.0832,0000,3.8900,0205,70.7631,0500,20.0211,0200
12417169,2023-01-18 14:13:37,WH110907,CE303GP2022WWGr,Huggins,,ARS,5,5,10.9267,0000,4.3284,0104,71.6317,0500,20.5210,0200
12417169,2023-01-18 14:14:36,WH110907,CE301GP2022WWGr,Huggins,,ARS,5,5,11.8396,0000,4.4270,0104,69.6486,0500,20.8886,0100
12417169,2023-01-18 14:15:33,WH110907,CE306GP2022WWGr,Huggins,,ARS,5,5,11.7370,0000,3.5904,0205,69.2896,0500,20.2614,0200
12417169,2023-01-18 14:16:33,WH110907,CE302GP2022WWGr,Huggins,,ARS,5,5,10.8463,0000,4.1517,0204,70.7745,0500,20.1332,0200
12417169,2023-01-18 14:18:16,WH110907,CE308GP2022WWGr,Huggins,,ARS,5,5,12.5661,0000,3.9113,0105,69.7233,0500,22.0200,0200
12417169,2023-01-18 14:19:07,WH110907,CE309GP2022WWGr,Huggins,,ARS,5,5,11.6915,0000,4.3143,0104,71.8867,0500,21.6645,0200
12417169,2023-01-18 14:19:59,WH110907,CE304GP2022WWGr,Huggins,,ARS,5,5,12.1801,0000,3.8605,0105,71.3298,0500,20.8389,0200
12417169,2023-01-18 14:20:49,WH110907,CE305GP2022WWGr,Huggins,,ARS,5,5,11.0437,0000,4.5722,0104,72.3307,0500,21.1721,0200
12417169,2023-01-18 14:43:22,WH110907,CE324GP2022WWGr,Huggins,,ARS,5,5,12.0635,0000,7.7178,0000,69.0996,0000,28.8010,0000
12417169,2023-01-18 14:44:14,WH110907,CE316GP2022WWGr,Huggins,,ARS,5,5,8.7584,0000,5.5781,0103,75.6527,0422,19.7630,0100
12417169,2023-01-18 14:45:11,WH110907,CE323GP2022WWGr,Huggins,,ARS,5,5,12.3361,0000,8.1730,0000,66.7087,0000,29.3171,0000
12417169,2023-01-18 14:46:04,WH110907,CE312GP2022WWGr,Huggins,,ARS,5,5,11.4707,0000,4.9871,0104,74.3930,0301,22.5404,0100
12417169,2023-01-18 14:47:57,WH110907,CE329GP2022WWGr,Huggins,,ARS,5,5,12.8067,0000,8.3927,0000,69.8907,0000,33.5376,0000
12417169,2023-01-18 14:49:01,WH110907,CE315GP2022WWGr,Huggins,,ARS,5,5,9.7481,0000,5.4757,0103,74.9447,0311,20.5505,0100
12417169,2023-01-18 14:50:02,WH110907,CE313GP2022WWGr,Huggins,,ARS,5,5,11.2394,0000,5.0771,0103,75.1229,0302,22.4202,0100
12417169,2023-01-18 14:51:03,WH110907,CE327GP2022WWGr,Huggins,,ARS,5,5,10.4747,0000,8.9078,0000,74.5496,0001,27.5187,0000
12417169,2023-01-18 14:51:59,WH110907,CE311GP2022WWGr,Huggins,,ARS,5,5,11.9036,0000,5.1315,0003,74.0781,0201,24.9630,0100
12417169,2023-01-18 14:52:56,WH110907,CE310GP2022WWGr,Huggins,,ARS,5,5,11.1700,0000,5.2777,0103,75.9713,0302,22.6514,0100
12417169,2023-01-18 14:58:28,WH110907,CE326GP2022WWGr,Huggins,,ARS,5,5,11.3401,0000,8.5164,0000,73.9916,0001,30.1836,0000
12417169,2023-01-18 14:59:20,WH110907,CE328GP2022WWGr,Huggins,,ARS,5,5,12.5870,0000,8.3718,0000,70.4716,0000,32.4614,0000
12417169,2023-01-18 15:00:10,WH110907,CE325GP2022WWGr,Huggins,,ARS,5,5,12.5047,0000,8.0217,0000,68.4782,0010,30.7180,0000
12417169,2023-01-18 15:01:21,WH110907,CE314GP2022WWGr,Huggins,,ARS,5,5,12.8939,0000,4.9620,0004,69.4737,0200,25.2583,0100
12417169,2023-01-18 15:42:52,WH110907,CE359GP2022WWGr,Huggins,,ARS,5,5,12.4385,0000,7.4324,0000,70.2572,0010,29.9419,0000
12417169,2023-01-18 15:44:04,WH110907,CE357GP2022WWGr,Huggins,,ARS,5,5,12.5944,0000,8.0466,0000,70.9204,0000,32.5320,0000
12417169,2023-01-18 15:56:43,WH110907,CE375GP2022WWGr,Huggins,,ARS,5,5,10.7732,0000,7.4929,0000,72.2349,0000,25.5922,0000
12417169,2023-01-18 15:58:01,WH110907,CE374GP2022WWGr,Huggins,,ARS,5,5,10.6333,0000,7.5603,0000,76.4347,0003,26.4866,0000
