Instrument,Date_Time,Application,Sample_ID,Customer_ID,Comment,Operator,SubSamples,UsedSubSamples,ProtDM,Outlier,Moisture,Outlier,StarchDM,Outlier,WGlutDM,Outlier
12417169,2022-10-31 10:47:30,WH110907,CE28GP2022WWGr,Huggins,,ARS,5,5,12.8518,0000,9.1860,0000,67.5148,0000,34.0162,0000
12417169,2022-10-31 10:48:59,WH110907,CE22GP2022WWGr,Huggins,,ARS,5,5,12.5407,0000,8.8715,0000,67.7059,0000,33.4491,0000
12417169,2022-10-31 10:49:44,WH110907,CE25GP2022WWGr,Huggins,,ARS,5,5,11.7714,0000,9.0212,0000,71.5396,0000,31.2747,0000
12417169,2022-10-31 10:50:55,WH110907,CE29GP2022WWGr,Huggins,,ARS,5,5,11.6499,0000,9.0332,0000,70.0302,0000,30.8319,0000
12417169,2022-10-31 10:51:46,WH110907,CE24GP2022WWGr,Huggins,,ARS,5,5,12.4310,0000,9.0150,0000,68.5715,0000,33.0420,0000
12417169,2022-10-31 10:52:34,WH110907,CE21GP2022WWGr,Huggins,,ARS,5,5,11.8248,0000,8.8995,0000,70.7923,0000,31.6218,0000
12417169,2022-10-31 10:53:29,WH110907,CE23GP2022WWGr,Huggins,,ARS,5,5,11.4226,0000,9.2227,0000,72.0748,0000,30.5108,0000
12417169,2022-10-31 10:54:19,WH110907,CE27GP2022WWGr,Huggins,,ARS,5,5,13.7621,0000,9.0258,0000,64.7832,0000,36.2151,0000
12417169,2022-10-31 10:55:18,WH110907,CE26GP2022WWGr,Huggins,,ARS,5,5,10.8572,0000,9.2026,0000,72.7504,0000,29.2046,0000
12417169,2022-10-31 10:56:32,WH110907,CE20GP2022WWGr,Huggins,,ARS,5,5,13.1519,0000,8.9063,0000,66.1754,0000,34.4325,0000
12417169,2022-10-31 11:08:44,WH110907,CE38GP2022WWGr,Huggins,,ARS,5,5,12.3286,0000,8.9486,0000,70.2178,0000,33.2222,0000
12417169,2022-10-31 11:09:31,WH110907,CE31GP2022WWGr,Huggins,,ARS,5,5,13.7613,0000,8.6199,0000,65.0381,0000,35.9202,0000
12417169,2022-10-31 11:10:16,WH110907,CE35GP2022WWGr,Huggins,,ARS,5,5,12.3510,0000,8.7526,0000,69.3454,0000,32.7594,0000
12417169,2022-10-31 11:11:02,WH110907,CE32GP2022WWGr,Huggins,,ARS,5,5,12.1735,0000,8.7749,0000,70.7290,0000,32.7025,0000
12417169,2022-10-31 11:12:03,WH110907,CE39GP2022WWGr,Huggins,,ARS,5,5,13.7681,0000,8.6629,0000,65.5477,0000,36.3784,0000
12417169,2022-10-31 11:12:50,WH110907,CE36GP2022WWGr,Huggins,,ARS,5,5,11.4786,0000,9.0041,0000,71.2281,0000,30.5422,0000
12417169,2022-10-31 11:13:37,WH110907,CE30GP2022WWGr,Huggins,,ARS,5,5,11.3929,0000,9.0155,0000,70.5353,0000,30.4698,0000
12417169,2022-10-31 11:14:26,WH110907,CE37GP2022WWGr,Huggins,,ARS,5,5,9.5894,0000,8.8580,0000,74.5638,0001,24.3931,0000
12417169,2022-10-31 11:16:33,WH110907,CE33GP2022WWGr,Huggins,,ARS,5,5,15.1023,0000,8.4392,0000,64.0219,0000,39.3976,0000
12417169,2022-10-31 11:17:30,WH110907,CE34GP2022WWGr,Huggins,,ARS,5,5,14.8242,0000,8.6448,0000,63.0653,0000,38.6521,0000
12417169,2022-10-31 11:56:59,WH110907,CE49GP2022WWGr,Huggins,,ARS,5,5,11.6224,0000,9.2908,0000,71.3142,0000,31.0629,0000
12417169,2022-10-31 11:57:59,WH110907,CE45GP2022WWGr,Huggins,,ARS,5,5,12.8562,0000,9.0540,0000,67.3438,0000,33.9882,0000
12417169,2022-10-31 11:59:08,WH110907,CE44GP2022WWGr,Huggins,,ARS,5,5,13.0904,0000,9.0203,0000,67.3849,0000,34.9460,0000
12417169,2022-10-31 12:00:13,WH110907,CE48GP2022WWGr,Huggins,,ARS,5,5,10.3032,0000,9.5187,0000,73.9066,0000,27.0861,0000
12417169,2022-10-31 12:01:04,WH110907,CE43GP2022WWGr,Huggins,,ARS,5,5,11.9766,0000,9.2718,0000,68.96875,0010,31.0223,0000
12417169,2022-10-31 12:02:12,WH110907,CE47GP2022WWGr,Huggins,,ARS,5,5,14.5007,0000,8.9519,0000,63.7846,0000,37.5099,0000
12417169,2022-10-31 12:03:05,WH110907,CE42GP2022WWGr,Huggins,,ARS,5,5,9.5219,0000,9.4710,0000,74.9846,0001,23.7566,0000
12417169,2022-10-31 12:04:55,WH110907,CE46GP2022WWGr,Huggins,,ARS,5,5,11.6310,0000,9.2645,0000,70.9681,0000,31.3043,0000
12417169,2022-10-31 12:06:18,WH110907,CE41GP2022WWGr,Huggins,,ARS,5,5,11.3889,0000,9.0751,0000,72.6603,0000,30.4900,0000
12417169,2022-10-31 12:07:21,WH110907,CE40GP2022WWGr,Huggins,,ARS,5,5,11.5717,0000,9.0138,0000,69.6118,0000,30.5921,0000
