Instrument,Date_Time,Application,Sample_ID,Customer_ID,Comment,Operator,SubSamples,UsedSubSamples,ProtDM,Outlier,Moisture,Outlier,StarchDM,Outlier,WGlutDM,Outlier
12417169,2022-10-26 11:27:06,WH110907,CE19GP2022WWGr,Huggins,,ARS,5,5,13.5326,0000,8.8789,0000,65.7648,0000,35.2089,0000
12417169,2022-10-26 11:28:55,WH110907,CE14GP2022WWGr,Huggins,,ARS,5,5,11.8742,0000,8.8011,0000,68.2306,0000,30.2324,0000
12417169,2022-10-26 11:29:44,WH110907,CE15GP2022WWGr,Huggins,,ARS,5,5,14.0898,0000,8.5620,0000,66.1068,0000,37.3057,0000
12417169,2022-10-26 11:30:32,WH110907,CE17GP2022WWGr,Huggins,,ARS,5,5,12.9362,0000,9.2148,0000,68.2445,0000,34.1719,0000
12417169,2022-10-26 11:31:27,WH110907,CE16GP2022WWGr,Huggins,,ARS,5,5,12.5603,0000,9.0989,0000,68.0229,0010,33.1541,0000
12417169,2022-10-26 11:32:18,WH110907,CE18GP2022WWGr,Huggins,,ARS,5,5,9.7326,0000,9.0063,0000,74.4861,0001,24.5685,0000
12417169,2022-10-26 11:33:20,WH110907,CE11GP2022WWGr,Huggins,,ARS,5,5,12.5838,0000,8.7985,0000,68.9303,0000,33.0008,0000
12417169,2022-10-26 11:34:11,WH110907,CE12GP2022WWGr,Huggins,,ARS,5,5,13.2509,0000,8.7515,0000,68.0716,0000,34.9469,0000
12417169,2022-10-26 11:35:22,WH110907,CE13GP2022WWGr,Huggins,,ARS,5,5,13.4524,0000,8.9402,0000,66.9594,0000,35.3571,0000
12417169,2022-10-26 11:40:59,WH110907,CE6GP2022WWGr,Huggins,,ARS,5,5,13.6436,0000,8.7976,0000,66.5838,0000,35.9055,0000
12417169,2022-10-26 11:41:55,WH110907,CE3GP2022WWGr,Huggins,,ARS,5,5,13.5236,0000,8.5486,0000,66.0530,0000,34.8163,0000
12417169,2022-10-26 11:42:52,WH110907,CE1GP2022WWGr,Huggins,,ARS,5,5,12.9852,0000,8.8743,0000,67.3847,0000,33.6945,0000
12417169,2022-10-26 11:43:44,WH110907,CE5GP2022WWGr,Huggins,,ARS,5,5,11.2715,0000,8.9728,0000,71.8363,0000,29.6481,0000
12417169,2022-10-26 11:44:31,WH110907,CE8GP2022WWGr,Huggins,,ARS,5,5,12.0410,0000,9.2542,0000,70.2572,0000,32.0500,0000
12417169,2022-10-26 11:46:47,WH110907,CE9GP2022WWGr,Huggins,,ARS,5,5,13.3017,0000,8.7702,0000,67.7192,0000,34.7014,0000
12417169,2022-10-26 11:47:33,WH110907,CE2GP2022WWGr,Huggins,,ARS,5,5,12.5353,0000,8.6334,0000,68.2162,0000,32.4770,0000
