Instrument,Date_Time,Application,Sample_ID,Customer_ID,Comment,Operator,SubSamples,UsedSubSamples,ProtDM,Outlier,Moisture,Outlier,StarchDM,Outlier,WGlutDM,Outlier
12417169,2023-01-04 10:34:30,WH110907,1,,,ARS,5,5,11.0472,0000,4.4302,0204,69.9499,0500,20.2315,0200
12417169,2023-01-04 10:41:38,WH110907,1,,,ARS,5,5,11.3294,0000,4.4308,0204,69.8135,0500,20.4269,0200
12417169,2023-01-04 11:01:47,WH110907,CE192GP2022WWGr,Huggins,,ARS,5,5,11.4499,0000,4.4857,0104,69.5184,0500,20.8036,0200
12417169,2023-01-04 11:05:01,WH110907,CE196GP2022WWGr,Huggins,,ARS,5,5,11.6933,0000,4.5479,0104,70.2540,0500,21.3246,0200
12417169,2023-01-04 11:06:01,WH110907,CE195GP2022WWGr,Huggins,,ARS,5,5,10.3277,0000,4.2584,0204,69.9446,0500,19.8273,0200
12417169,2023-01-04 11:06:59,WH110907,CE191GP2022WWGr,Huggins,,ARS,5,5,9.8920,0000,4.6637,0204,71.4563,0500,19.7857,0200
12417169,2023-01-04 11:08:07,WH110907,CE193GP2022WWGr,Huggins,,ARS,5,5,12.4290,0000,4.2441,0104,68.9944,0500,21.5031,0200
12417169,2023-01-04 11:09:06,WH110907,CE199GP2022WWGr,Huggins,,ARS,5,5,10.7274,0000,4.6331,0104,71.3605,0500,20.3722,0200
12417169,2023-01-04 11:12:34,WH110907,CE197GP2022WWGr,Huggins,,ARS,5,5,11.3290,0000,4.3971,0104,70.0800,0500,20.3914,0200
12417169,2023-01-04 11:13:36,WH110907,CE198GP2022WWGr,Huggins,,ARS,5,5,13.1060,0000,3.6788,0205,68.2410,0500,21.8766,0200
12417169,2023-01-04 11:14:46,WH110907,CE190GP2022WWGr,Huggins,,ARS,5,5,11.3016,0000,4.2201,0104,70.3436,0500,20.6170,0200
12417169,2023-01-04 11:15:43,WH110907,CE194GP2022WWGr,Huggins,,ARS,5,5,12.2635,0000,3.7219,0205,69.0625,0500,20.8105,0200
12417169,2023-01-04 11:46:17,WH110907,CE185GP2022WWGr,Huggins,,ARS,5,5,10.3546,0000,3.6313,0205,70.6291,0500,19.4814,0300
12417169,2023-01-04 11:47:15,WH110907,CE182GP2022WWGr,Huggins,,ARS,5,5,11.1168,0000,3.8538,0205,69.4281,0500,19.6993,0200
12417169,2023-01-04 11:48:15,WH110907,CE189GP2022WWGr,Huggins,,ARS,5,5,10.8506,0000,3.6572,0205,69.6576,0500,20.1216,0300
12417169,2023-01-04 11:49:16,WH110907,CE186GP2022WWGr,Huggins,,ARS,5,5,9.4910,0000,4.9125,0104,73.0607,0401,19.9001,0100
12417169,2023-01-04 11:50:12,WH110907,CE184GP2022WWGr,Huggins,,ARS,5,5,9.0755,0000,4.2082,0204,71.8677,0500,19.2611,0300
12417169,2023-01-04 11:51:08,WH110907,CE187GP2022WWGr,Huggins,,ARS,5,5,14.5612,0000,2.5871,0205,67.7507,0500,23.9707,0300
12417169,2023-01-04 11:53:00,WH110907,CE188GP2022WWGr,Huggins,,ARS,5,5,9.6975,0100,3.3487,0405,69.3203,0500,18.9523,0400
12417169,2023-01-04 11:56:05,WH110907,CE183GP2022WWGr,Huggins,,ARS,5,5,9.1164,0000,4.1391,0204,69.8305,0500,19.2492,0200
12417169,2023-01-04 11:57:12,WH110907,CE181GP2022WWGr,Huggins,,ARS,5,5,9.5786,0000,3.8982,0205,70.9832,0500,19.3233,0300
12417169,2023-01-04 11:58:38,WH110907,CE180GP2022WWGr,Huggins,,ARS,5,5,14.0853,0000,2.5645,0205,68.0354,0500,23.9294,0200
12417169,2023-01-04 13:44:00,WH110907,CE178GP2022WWGr,Huggins,,ARS,5,5,11.4614,0000,5.2008,0003,71.9559,0300,22.4335,0100
12417169,2023-01-04 13:45:05,WH110907,CE171GP2022WWGr,Huggins,,ARS,5,5,13.9892,0000,4.5647,0004,65.5088,0300,27.0075,0100
12417169,2023-01-04 13:46:43,WH110907,CE175GP2022WWGr,Huggins,,ARS,5,5,12.3490,0000,4.9878,0004,68.8481,0300,23.3960,0100
