Crop,FieldName,Lower,Upper
WL,ResidueCarbon,,
WL,ResidueNitrogen,,
AL,BiomassDry,,
,GrainMassDry,,
,GrainMoisture,,
,GrainProtein,,
,GrainStarch,,
,GrainGluten,,
,GrainTestWeight,,
,GrainMass0,,
,GrainMass125,,
,BiomassDryPerArea,,
,GrainYieldDryPerArea,,
,GrainYield0PerArea,,
,GrainYield125PerArea,,
,HarvestIndex,,
,GrainCarbon,,
,GrainNitrogen,,
,ResidueCarbon,,
,ResidueNitrogen,,
MI,BiomassDry,,
,GrainMassDry,,
,GrainMoisture,,
,GrainProtein,,
,GrainStarch,,
,GrainGluten,,
,GrainTestWeight,,
,GrainMass0,,
,GrainMass125,,
,BiomassDryPerArea,,
,GrainYieldDryPerArea,,
,GrainYield0PerArea,,
,GrainYield125PerArea,,
,HarvestIndex,,
,GrainCarbon,,
,GrainNitrogen,,
,ResidueCarbon,,
,ResidueNitrogen,,
imiWW,BiomassDry,,
,GrainMassDry,,
,GrainMoisture,,
,GrainProtein,,
,GrainStarch,,
,GrainGluten,,
,GrainTestWeight,,
,GrainMass0,,
,GrainMass125,,
,BiomassDryPerArea,,
,GrainYieldDryPerArea,,
,GrainMass0PerArea,,
,GrainYield125PerArea,,
,HarvestIndex,,
,GrainCarbon,,
,GrainNitrogen,,
,ResidueCarbon,,
,ResidueNitrogen,,
