Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Moisture,Standard Deviation Moisture,Min Moisture,Max Moisture,Residual Moisture,Leverage Moisture,Ref Moisture,TW,Ref TW,Oil0%,Standard Deviation Oil0%,Min Oil0%,Max Oil0%,Residual Oil0%,Leverage Oil0%,Ref Oil0%
11/15/2024 2:26:44 PM,Rapeseed I,60073681 RA,Normal,CE315_GP_2024_SC_Gr,,Infratec,91915904,5.33,0.159,5.116,5.597,0,0,,,,47.11,0.578,46.114,47.812,0,0,
11/15/2024 2:28:09 PM,Rapeseed I,60073681 RA,Normal,CE332_GP_2024_SC_Gr,,Infratec,91915904,5.13,0.14,4.922,5.332,0,0,,,,48.87,0.385,48.408,49.33,0,0,
11/15/2024 2:29:40 PM,Rapeseed I,60073681 RA,Normal,CE78_GP_2024_SC_Gr,,Infratec,91915904,5.05,0.137,4.728,5.199,0,0,,,,48.23,0.655,47.407,49.095,0,0,
11/15/2024 2:31:22 PM,Rapeseed I,60073681 RA,Normal,CE82_GP_2024_SC_Gr,,Infratec,91915904,5.15,0.215,4.703,5.454,0,0,,,,49.91,0.909,47.436,50.46,0,0,
11/15/2024 2:32:49 PM,Rapeseed I,60073681 RA,Normal,CE331_GP_2024_SC_Gr,,Infratec,91915904,4.71,0.134,4.455,4.901,0,0,,,,50.11,0.673,49.144,51.104,0,0,
11/15/2024 2:35:33 PM,Rapeseed I,60073681 RA,Normal,CE103_GP_2024_SC_Gr,,Infratec,91915904,5.01,0.412,4,5.422,0,0,,,,49.36,0.97,47.583,50.576,0,0,
11/15/2024 2:38:10 PM,Rapeseed I,60073681 RA,Normal,CE36_GP_2024_SC_Gr,,Infratec,91915904,5.25,0.187,4.949,5.554,0,0,,,,47.35,0.869,46.093,48.638,0,0,
11/15/2024 2:40:02 PM,Rapeseed I,60073681 RA,Normal,CE130_GP_2024_SC_Gr,,Infratec,91915904,5.22,0.191,4.911,5.607,0,0,,,,42.96,0.644,42.107,43.748,0,0,
11/15/2024 2:41:36 PM,Rapeseed I,60073681 RA,Normal,CE77_GP_2024_SC_Gr,,Infratec,91915904,5.53,0.196,5.205,5.778,0,0,,,,46.24,0.857,44.79,47.3,0,0,
11/15/2024 3:18:39 PM,Rapeseed I,60073681 RA,Normal,CE81_GP_2024_SC_Gr,,Infratec,91915904,5.4,0.292,4.765,5.813,0,0,,,,50.64,0.422,49.876,51.346,0,0,
