Instrument,Date_Time,Application,Sample_ID,Customer_ID,Comment,Operator,SubSamples,UsedSubSamples,ProtDM,Outlier,Moisture,Outlier,StarchDM,Outlier,WGlutDM,Outlier
12417169,2019-08-29 15:22:20,WH110907,CW635GP2019WWGr,1758,,ARS,5,5,9.7308,0000,8.7810,0000,73.3632,0001,24.6838,0000
12417169,2019-08-29 15:24:24,WH110907,CW629GP2019WWGr,1758,,ARS,5,5,8.7829,0000,8.5854,0000,74.9495,0001,21.2770,0000
12417169,2019-08-29 15:25:39,WH110907,CW630GP2019WWGr,1758,,ARS,5,5,9.0940,0000,8.4840,0000,72.7677,0021,21.7345,0010
12417169,2019-08-29 15:26:47,WH110907,CW633GP2019WWGr,1758,,ARS,5,5,10.4985,0000,9.3603,0000,72.2521,0000,27.7454,0000
12417169,2019-08-29 15:28:05,WH110907,CW632GP2019WWGr,1758,,ARS,5,5,10.6598,0000,8.6333,0000,72.2218,0000,26.9435,0000
12417169,2019-08-29 15:29:07,WH110907,CW631GP2019WWGr,1758,,ARS,5,5,10.6321,0000,8.9628,0000,72.9811,0000,27.7698,0000
12417169,2019-08-29 15:30:08,WH110907,CW634GP2019WWGr,1758,,ARS,5,5,8.9418,0000,8.9995,0000,75.1808,0002,22.2792,0000
