Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Protein0%,Leverage Protein0%,Residual Protein0%,Moisture,Leverage Moisture,Residual Moisture
11/13/2023 8:47:00 AM,Field Peas II,60073677 PE,Normal,CE274_GP_2023_WP_Gr,,Infratec,91915904,22.14,0.00,0.00,11.04,0.00,0.00
11/13/2023 8:48:44 AM,Field Peas II,60073677 PE,Normal,CE276_GP_2023_WP_Gr,,Infratec,91915904,21.04,0.00,0.00,9.79,0.00,0.00
11/13/2023 8:50:13 AM,Field Peas II,60073677 PE,Normal,CE286_GP_2023_WP_Gr,,Infratec,91915904,22.00,0.00,0.00,10.63,0.00,0.00
11/13/2023 8:51:41 AM,Field Peas II,60073677 PE,Normal,CE287_GP_2023_WP_Gr,,Infratec,91915904,23.59,0.00,0.00,9.74,0.00,0.00
11/13/2023 8:53:07 AM,Field Peas II,60073677 PE,Normal,CE283_GP_2023_WP_Gr,,Infratec,91915904,21.43,0.00,0.00,10.46,0.00,0.00
11/13/2023 8:54:50 AM,Field Peas II,60073677 PE,Normal,CE249_GP_2023_WP_Gr,,Infratec,91915904,22.63,0.00,0.00,10.62,0.00,0.00
11/13/2023 8:56:21 AM,Field Peas II,60073677 PE,Normal,CE248_GP_2023_WP_Gr,,Infratec,91915904,22.49,0.00,0.00,9.59,0.00,0.00
11/13/2023 8:58:12 AM,Field Peas II,60073677 PE,Normal,CE232_GP_2023_WP_Gr,,Infratec,91915904,23.97,0.00,0.00,10.61,0.00,0.00
11/13/2023 8:59:40 AM,Field Peas II,60073677 PE,Normal,CE238_GP_2023_WP_Gr,,Infratec,91915904,23.57,0.00,0.00,9.89,0.00,0.00
11/13/2023 9:01:26 AM,Field Peas II,60073677 PE,Normal,CE234_GP_2023_WP_Gr,,Infratec,91915904,23.27,0.00,0.00,10.57,0.00,0.00
11/13/2023 9:02:36 AM,Field Peas II,60073677 PE,Normal,CE233_GP_2023_WP_Gr,,Infratec,91915904,21.56,0.00,0.00,10.83,0.00,0.00
11/13/2023 9:04:03 AM,Field Peas II,60073677 PE,Normal,CE240_GP_2023_WP_Gr,,Infratec,91915904,21.02,0.00,0.00,10.52,0.00,0.00
11/13/2023 9:06:11 AM,Field Peas II,60073677 PE,Normal,CE242_GP_2023_WP_Gr,,Infratec,91915904,21.81,0.00,0.00,9.84,0.00,0.00
11/13/2023 9:07:52 AM,Field Peas II,60073677 PE,Normal,CE243_GP_2023_WP_Gr,,Infratec,91915904,23.55,0.00,0.00,8.94,0.00,0.00
11/13/2023 9:09:35 AM,Field Peas II,60073677 PE,Normal,CE231_GP_2023_WP_Gr,,Infratec,91915904,21.82,0.00,0.00,10.61,0.00,0.00
11/13/2023 9:10:53 AM,Field Peas II,60073677 PE,Normal,CE236_GP_2023_WP_Gr,,Infratec,91915904,23.06,0.00,0.00,10.07,0.00,0.00
11/13/2023 9:12:03 AM,Field Peas II,60073677 PE,Normal,CE237_GP_2023_WP_Gr,,Infratec,91915904,22.34,0.00,0.00,10.37,0.00,0.00
11/13/2023 9:13:56 AM,Field Peas II,60073677 PE,Normal,CE235_GP_2023_WP_Gr,,Infratec,91915904,22.86,0.00,0.00,9.94,0.00,0.00
11/13/2023 9:16:15 AM,Field Peas II,60073677 PE,Normal,CE244_GP_2023_WP_GrSample-0387,,Infratec,91915904,24.52,0.00,0.00,10.05,0.00,0.00
11/13/2023 9:17:27 AM,Field Peas II,60073677 PE,Normal,CE241_GP_2023_WP_Gr,,Infratec,91915904,22.30,0.00,0.00,10.88,0.00,0.00
11/13/2023 9:19:22 AM,Field Peas II,60073677 PE,Normal,CE241_GP_2023_WP_Gr,,Infratec,91915904,,,,,,
11/13/2023 9:24:13 AM,Field Peas II,60073677 PE,Normal,CE245_GP_2023_WP_Gr,,Infratec,91915904,,,,,,
11/13/2023 9:24:52 AM,Field Peas II,60073677 PE,Normal,CE246_GP_2023_WP_Gr,,Infratec,91915904,21.88,0.00,0.00,9.22,0.00,0.00
