Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Protein0%,Leverage Protein0%,Residual Protein0%,Moisture,Leverage Moisture,Residual Moisture,Starch0%,Leverage Starch0%,Residual Starch0%,Gluten0%,Leverage Gluten0%,Residual Gluten0%,Zeleny0%,Leverage Zeleny0%,Residual Zeleny0%,TW
11/6/2023 12:32:06 PM,Field Peas II,60073677 PE,Normal,CW442_GP_2023_WP_Gr,,Infratec,91915904,21.60,0.00,0.00,10.36,0.00,0.00,,,,,,,,,,
11/6/2023 12:34:22 PM,Field Peas II,60073677 PE,Normal,CW441_GP_2023_WP_Gr,,Infratec,91915904,22.75,0.00,0.00,10.44,0.00,0.00,,,,,,,,,,
11/6/2023 12:36:21 PM,Field Peas II,60073677 PE,Normal,CW447_GP_2023_WP_Gr,,Infratec,91915904,22.40,0.00,0.00,10.67,0.00,0.00,,,,,,,,,,
11/6/2023 12:37:50 PM,Field Peas II,60073677 PE,Normal,CW458_GP_2023_WP_Gr,,Infratec,91915904,21.55,0.00,0.00,10.02,0.00,0.00,,,,,,,,,,
11/6/2023 12:39:44 PM,Field Peas II,60073677 PE,Normal,CW459_GP_2023_WP_Gr,,Infratec,91915904,20.89,0.00,0.00,10.17,0.00,0.00,,,,,,,,,,
11/6/2023 12:41:33 PM,Field Peas II,60073677 PE,Normal,CW455_GP_2023_WP_Gr,,Infratec,91915904,21.72,0.00,0.00,10.38,0.00,0.00,,,,,,,,,,
11/6/2023 12:44:05 PM,Field Peas II,60073677 PE,Normal,CW433_GP_2023_WP_Gr,,Infratec,91915904,21.45,0.00,0.00,10.72,0.00,0.00,,,,,,,,,,
11/6/2023 12:46:18 PM,Field Peas II,60073677 PE,Normal,CW431_GP_2023_WP_Gr,,Infratec,91915904,21.19,0.00,0.00,10.59,0.00,0.00,,,,,,,,,,
11/6/2023 12:48:15 PM,Field Peas II,60073677 PE,Normal,CW428_GP_2023_WP_Gr,,Infratec,91915904,21.86,0.00,0.00,10.58,0.00,0.00,,,,,,,,,,
11/6/2023 12:50:23 PM,Field Peas II,60073677 PE,Normal,CW427_GP_2023_WP_Gr,,Infratec,91915904,21.64,0.00,0.00,10.92,0.00,0.00,,,,,,,,,,
