Instrument,Date_Time,Application,Sample_ID,Customer_ID,Comment,Operator,SubSamples,UsedSubSamples,ProtDM,Outlier,Moisture,Outlier,StarchDM,Outlier,WGlutDM,Outlier
12417169,2019-09-23 10:21:39,WH110907,CE218GP2019WWGr,1797,,ARS,5,5,10.1652,0000,8.7564,0000,74.3906,0000,27.2684,0000
12417169,2019-09-23 10:23:08,WH110907,CE219GP2019WWGr,1797,,ARS,5,5,9.9464,0000,9.4075,0000,74.9351,0001,26.2707,0000
12417169,2019-09-23 10:24:49,WH110907,CE220GP2019WWGr,1797,,ARS,5,5,11.0825,0000,9.1910,0000,73.3517,0000,30.1536,0000
12417169,2019-09-23 13:26:37,WH110907,CE376GP2019WWGr,1813,,ARS,5,5,9.5074,0000,8.8711,0000,75.0307,0002,24.6692,0000
12417169,2019-09-23 13:28:03,WH110907,CE374GP2019WWGr,1813,,ARS,5,5,10.2942,0000,8.8989,0000,74.2063,0000,27.2050,0000
12417169,2019-09-23 13:29:19,WH110907,CE377GP2019WWGr,1813,,ARS,5,5,10.7867,0000,9.1593,0000,73.4439,0000,28.6606,0000
12417169,2019-09-23 13:30:33,WH110907,CE360GP2019WWGr,1813,,ARS,5,5,9.7459,0000,9.1714,0000,73.7091,0000,25.4214,0000
12417169,2019-09-23 13:31:46,WH110907,CE371GP2019WWGr,1813,,ARS,5,5,11.2232,0000,9.2095,0000,71.7735,0000,29.8613,0000
12417169,2019-09-23 13:33:04,WH110907,CE375GP2019WWGr,1813,,ARS,5,5,9.7790,0000,8.7930,0000,75.0613,0002,25.2537,0000
12417169,2019-09-23 13:34:15,WH110907,CE372GP2019WWGr,1813,,ARS,5,5,10.6041,0000,8.5988,0000,73.5232,0000,28.2938,0000
12417169,2019-09-23 13:35:33,WH110907,CE373GP2019WWGr,1813,,ARS,5,5,9.6384,0000,8.8902,0000,75.1597,0002,24.9772,0000
12417169,2019-09-23 13:39:49,WH110907,CE278GP2019WWGr,1804,,ARS,5,5,10.2804,0000,8.7060,0000,75.1007,0002,27.1857,0000
12417169,2019-09-23 13:41:03,WH110907,CE277GP2019WWGr,1804,,ARS,5,5,9.8624,0000,8.6257,0000,74.5421,0001,25.3560,0000
12417169,2019-09-23 13:42:16,WH110907,CE279GP2019WWGr,1804,,ARS,5,5,10.2210,0000,8.7687,0000,74.6746,0001,27.0385,0000
12417169,2019-09-23 13:43:34,WH110907,CE275GP2019WWGr,1804,,ARS,5,5,11.1232,0000,8.7928,0000,73.8413,0001,29.8143,0000
12417169,2019-09-23 13:44:49,WH110907,CE271GP2019WWGr,1804,,ARS,5,5,9.2713,0000,9.0614,0000,75.2468,0002,23.9480,0000
12417169,2019-09-23 13:46:37,WH110907,CE272GP2019WWGr,1804,,ARS,5,5,8.9377,0000,9.0283,0000,75.1428,0002,22.8062,0000
12417169,2019-09-23 13:48:25,WH110907,CE276GP2019WWGr,1804,,ARS,5,5,10.3374,0000,8.6835,0000,75.0319,0002,27.1313,0000
12417169,2019-09-23 13:49:51,WH110907,CE273GP2019WWGr,1804,,ARS,5,5,11.0428,0000,8.8915,0000,71.1846,0000,28.8528,0000
12417169,2019-09-23 13:51:20,WH110907,CE274GP2019WWGr,1804,,ARS,5,5,10.6441,0000,8.5743,0000,75.0193,0002,28.3553,0000
12417169,2019-09-23 13:55:30,WH110907,CE336GP2019WWGr,1810,,ARS,5,5,10.9508,0000,8.3845,0000,74.8118,0001,29.4884,0000
12417169,2019-09-23 13:56:41,WH110907,CE335GP2019WWGr,1810,,ARS,5,5,10.0977,0000,8.4610,0000,75.0241,0002,26.4842,0000
12417169,2019-09-23 13:58:04,WH110907,CE333GP2019WWGr,1810,,ARS,5,5,10.2141,0000,8.6886,0000,75.0758,0002,27.2283,0000
12417169,2019-09-23 13:59:13,WH110907,CE334GP2019WWGr,1810,,ARS,5,5,10.7925,0000,8.5432,0000,74.8263,0001,29.0039,0000
12417169,2019-09-23 14:00:34,WH110907,CE329GP2019WWGr,1810,,ARS,5,5,10.3086,0000,8.5337,0000,75.4651,0002,27.3872,0000
12417169,2019-09-23 14:01:45,WH110907,CE330GP2019WWGr,1810,,ARS,5,5,10.1616,0000,8.8744,0000,75.4086,0002,27.0196,0000
12417169,2019-09-23 14:03:04,WH110907,CE331GP2019WWGr,1810,,ARS,5,5,10.4693,0000,8.8203,0000,75.0259,0002,28.2402,0000
12417169,2019-09-23 14:04:12,WH110907,CE332GP2019WWGr,1810,,ARS,5,5,8.9563,0000,8.6585,0000,75.0932,0012,22.7401,0000
12417169,2019-09-23 14:07:12,WH110907,CE328GP2019WWGr,1809,,ARS,5,5,10.7540,0000,9.0558,0000,74.0245,0000,28.8668,0000
12417169,2019-09-23 14:08:21,WH110907,CE325GP2019WWGr,1809,,ARS,5,5,8.9490,0011,8.5396,0000,73.8467,0031,22.9048,0000
12417169,2019-09-23 14:11:10,WH110907,CE326GP2019WWGr,1809,,ARS,5,5,10.5864,0000,8.4386,0000,75.1885,0002,28.1888,0000
12417169,2019-09-23 14:12:25,WH110907,CE327GP2019WWGr,1809,,ARS,5,5,10.6836,0000,8.9608,0000,73.5972,0000,28.4513,0000
12417169,2019-09-23 14:13:34,WH110907,CE316GP2019WWGr,1809,,ARS,5,5,9.2093,0000,9.3586,0000,73.8862,0000,24.1101,0000
12417169,2019-09-23 14:14:45,WH110907,CE323GP2019WWGr,1809,,ARS,5,5,11.2382,0000,9.3672,0000,72.5759,0000,30.3798,0000
12417169,2019-09-23 14:16:21,WH110907,CE324GP2019WWGr,1809,,ARS,5,5,8.9310,0000,8.6167,0000,75.1649,0002,22.2140,0000
12417169,2019-09-23 14:19:09,WH110907,CE315GP2019WWGr,1808,,ARS,5,5,10.3308,0000,9.0635,0000,72.9874,0000,27.0391,0000
12417169,2019-09-23 14:20:36,WH110907,CE314GP2019WWGr,1808,,ARS,5,5,9.6697,0000,9.2185,0000,74.2682,0000,25.2900,0000
12417169,2019-09-23 14:21:41,WH110907,CE308GP2019WWGr,1808,,ARS,5,5,10.1765,0000,8.9279,0000,75.3154,0002,27.2387,0000
12417169,2019-09-23 14:22:50,WH110907,CE312GP2019WWGr,1808,,ARS,5,5,10.4205,0000,8.3762,0000,75.9245,0002,27.7076,0000
12417169,2019-09-23 14:24:01,WH110907,CE313GP2019WWGr,1808,,ARS,5,5,10.0249,0000,9.1810,0000,74.2215,0000,26.5705,0000
12417169,2019-09-23 14:25:08,WH110907,CE309GP2019WWGr,1808,,ARS,5,5,10.6509,0000,8.9065,0000,74.6079,0001,28.8633,0000
12417169,2019-09-23 14:26:33,WH110907,CE310GP2019WWGr,1808,,ARS,5,5,10.9023,0000,8.5632,0000,74.8508,0001,29.2673,0000
12417169,2019-09-23 14:27:46,WH110907,CE311GP2019WWGr,1808,,ARS,5,5,9.6307,0000,8.3348,0000,75.8655,0002,25.2181,0000
